resultId,raceId,driverId,constructorId,number,positionOrder,points,rank
1113,69,17,3,9,19,0,18
1114,69,30,6,5,20,0,2
1115,69,14,9,14,21,0,16
1116,69,27,14,19,22,0,22
1117,70,13,6,6,1,10,2
1118,70,4,4,1,2,8,3
1119,70,18,11,12,3,6,4
1120,70,30,6,5,4,5,1
1121,70,8,1,3,5,4,6
1122,70,21,4,2,6,3,5
1123,70,22,11,11,7,2,8
1124,70,37,1,4,8,1,12
1125,70,9,2,17,9,0,14
1126,70,11,8,22,10,0,9
1127,70,26,5,21,11,0,13
1128,70,38,9,15,12,0,11
1129,70,24,5,20,13,0,10
1130,70,27,14,19,14,0,17
1131,70,33,14,18,15,0,16
1132,70,29,8,23,16,0,7
1133,70,2,2,16,17,0,15
1134,70,14,9,14,18,0,19
1135,70,15,7,8,19,0,18
1136,70,23,7,7,20,0,20
1137,70,17,3,9,21,0,\N
1138,70,3,3,10,22,0,\N
1139,71,21,4,6,1,10,2
1140,71,22,6,2,2,8,3
1141,71,4,4,5,3,6,1
1142,71,14,9,14,4,5,11
1143,71,17,3,7,5,4,8
1144,71,31,1,10,6,3,7
1145,71,32,9,15,7,2,10
1146,71,8,1,9,8,1,4
1147,71,15,7,16,9,0,14
1148,71,13,15,12,10,0,13
1149,71,18,16,3,11,0,5
1150,71,23,7,17,12,0,9
1151,71,35,15,11,13,0,15
1152,71,11,16,4,14,0,16
1153,71,39,17,19,15,0,17
1154,71,33,17,18,16,0,18
1155,71,40,18,20,17,0,19
1156,71,30,6,1,18,0,6
1157,71,2,3,8,19,0,12
1158,71,27,18,21,20,0,20
1159,72,4,4,5,1,10,4
1160,72,15,7,16,2,8,3
1161,72,2,3,8,3,6,2
1162,72,31,1,10,4,5,8
1163,72,23,7,17,5,4,7
1164,72,14,9,14,6,3,9
1165,72,30,6,1,7,2,12
1166,72,32,9,15,8,1,11
1167,72,8,1,9,9,0,1
1168,72,13,15,12,10,0,13
1169,72,39,17,19,11,0,16
1170,72,33,17,18,12,0,17
1171,72,27,18,21,13,0,19
1172,72,22,6,2,14,0,10
1173,72,21,4,6,15,0,6
1174,72,17,3,7,16,0,5
1175,72,35,15,11,17,0,15
1176,72,18,16,3,18,0,14
1177,72,19,16,4,19,0,18
1178,72,40,18,20,20,0,20
1179,73,4,4,5,1,10,2
1180,73,15,7,16,2,8,4
1181,73,8,1,9,3,6,3
1182,73,23,7,17,4,5,6
1183,73,37,1,10,5,4,1
1184,73,17,3,7,6,3,10
1185,73,13,15,12,7,2,12
1186,73,14,9,14,8,1,13
1187,73,22,6,2,9,0,8
1188,73,33,17,18,10,0,15
1189,73,35,15,11,11,0,14
1190,73,40,18,20,12,0,16
1191,73,27,18,21,13,0,17
1192,73,18,16,3,14,0,5
1193,73,11,16,4,15,0,11
1194,73,2,3,8,16,0,9
1195,73,30,6,1,17,0,7
1196,73,21,4,6,18,0,18
1197,73,39,17,19,19,0,19
1198,73,32,9,15,20,0,\N
1199,74,4,4,5,1,10,4
1200,74,30,6,1,2,8,1
1201,74,25,1,10,3,6,3
1202,74,35,15,11,4,5,10
