_id,ADDRESS_POINT_ID,ADDRESS_NUMBER,LINEAR_NAME_FULL,ADDRESS_FULL,POSTAL_CODE,MUNICIPALITY,CITY,WARD,PLACE_NAME,GENERAL_USE_CODE,CENTRELINE_ID,LO_NUM,LO_NUM_SUF,HI_NUM,HI_NUM_SUF,LINEAR_NAME_ID,X,Y,LONGITUDE,LATITUDE,ID,PARKING_TYPE,FLANKING,BICYCLE_CAPACITY,SIZE_M,YEAR_INSTALLED,BY_LAW,DETAILS,OBJECTID,geometry
6759,773157,1032,Bloor St W,1032 Bloor St W,M6H 1M2,former Toronto,Toronto,Davenport (9),,107010,1143789,1032,,,,458,,,-79.43160951,43.66096551,7,Bike Rack,Salem Ave,8,2.9,2015,N/A,,90,"{""type"": ""Point"", ""coordinates"": [-79.4316062598435, 43.6609569224605]}"
6760,20364734,157,Dan Leckie Way,157 Dan Leckie Way,M5V 4A8,former Toronto,Toronto,Spadina-Fort York (10),,100001,20364648,157,,,,17007,,,-79.39800554,43.63989311,25,Bike Rack,Dan Leckie Way,8,2.9,2016,N/A,,91,"{""type"": ""Point"", ""coordinates"": [-79.3980055327274, 43.6398931179215]}"
6761,7792268,595,Bay St,595 Bay St,M5G 2C2,former Toronto,Toronto,University-Rosedale (11),,104008,7792266,595,,,,2962,,,-79.38330106,43.65622103,86,Bike Rack,Dundas St W,8,2.9,2016,N/A,,92,"{""type"": ""Point"", ""coordinates"": [-79.3832978278682, 43.6562124477002]}"
6762,14210933,5,Salem Ave,5 Salem Ave,M6H 3C2,former Toronto,Toronto,Davenport (9),,115001,14011464,5,,,,4354,,,-79.43156335,43.66085371,75,Bike Rack,Salem Ave,8,2.9,2014,N/A,,93,"{""type"": ""Point"", ""coordinates"": [-79.4315601023945, 43.6608451251421]}"
6763,14210930,1036,Bloor St W,1036 Bloor St W,M6H 1M3,former Toronto,Toronto,Davenport (9),,115001,1143821,1036,,,,458,,,-79.43194161,43.6608299,9,Bike Rack,Bloor St W,8,2.9,2014,N/A,,94,"{""type"": ""Point"", ""coordinates"": [-79.4319383641102, 43.6608213173929]}"
6764,8417835,1,Albany Ave,1 Albany Ave,M5R 3C2,former Toronto,Toronto,University-Rosedale (11),,115001,14014600,1,,,,2859,,,-79.40994183,43.66572878,1,Bike Rack,Bloor St W,8,2.9,2017,N/A,,95,"{""type"": ""Point"", ""coordinates"": [-79.4099385908683, 43.6657201946865]}"
6765,20362129,163,Dan Leckie Way,163 Dan Leckie Way,M5V 4A8,former Toronto,Toronto,Spadina-Fort York (10),,100001,20364648,163,,,,17007,,,-79.39806861,43.6400542,27,Bike Rack,Iceboat Ter,8,2.9,2016,N/A,,96,"{""type"": ""Point"", ""coordinates"": [-79.3980686081508, 43.6400541998147]}"
6766,7641709,26,Dundas St E,26 Dundas St E,M5B 2L6,former Toronto,Toronto,Toronto Centre (13),,115001,7641747,26,,,,3334,,,-79.37998075,43.65652616,47,Bike Rack,Victoria St,8,2.9,2017,N/A,,97,"{""type"": ""Point"", ""coordinates"": [-79.3799775246031, 43.6565175761293]}"
6767,13968174,38,Orchard View Blvd,38 Orchard View Blvd,M4R 2G3,former Toronto,Toronto,Eglinton-Lawrence (8),,107009,10258454,38,,,,4111,,,-79.39968338,43.70822531,62,Bike Rack,Yonge St,8,2.9,2016,N/A,,98,"{""type"": ""Point"", ""coordinates"": [-79.39968014457341, 43.708216713311]}"
6768,7929674,200,King St W,200 King St W,M5H 3T4,former Toronto,Toronto,Spadina-Fort York (10),,104008,7929673,200,,,,3780,,,-79.38572365,43.64791386,36,Bike Rack,University Ave,8,2.9,2016,N/A,,99,"{""type"": ""Point"", ""coordinates"": [-79.3857204176048, 43.6479052737837]}"
6769,3120556,1030,King St W,1030 King St W,M6K 0B4,former Toronto,Toronto,Spadina-Fort York (10),,113001,3155022,1030,,,,3780,,,-79.41576192,43.64158943,6,Bike Rack,King St W,16,2.9,2016,N/A,,100,"{""type"": ""Point"", ""coordinates"": [-79.4157586754681, 43.6415808536674]}"
6770,10154425,1,St Clair Ave E,1 St Clair Ave E,M4T 2V7,former Toronto,Toronto,Toronto-St. Paul's (12),,115001,10154405,1,,,,339,,,-79.39357412,43.68791975,2,Bike Rack,Yonge St,24,2.9,2016,N/A,,101,"{""type"": ""Point"", ""coordinates"": [-79.3935708744087, 43.6879111568366]}"
6771,7939998,10,Linnsmore Cres,10 Linnsmore Cres,M4J 4J6,former Toronto,Toronto,Toronto-Danforth (14),,115001,14023269,10,,,,11375,,,-79.33029539,43.68258062,3,Bike Rack,Linnsmore Cr,18,2.9,2016,N/A,,102,"{""type"": ""Point"", ""coordinates"": [-79.330292170892, 43.6825720317076]}"
6772,20140670,101,Sherbourne St,101 Sherbourne St,M5A 2R3,former Toronto,Toronto,Toronto Centre (13),,112001,1144819,101,,,,4391,,,-79.36891493,43.65367074,5,Bike Rack,Richmond St E,8,2.9,2016,N/A,,103,"{""type"": ""Point"", ""coordinates"": [-79.3689116973164, 43.6536621558492]}"
6773,7553175,1184,Queen St W,1184 Queen St W,M6J 1J5,former Toronto,Toronto,Davenport (9),,115001,7553178,1184,,,,4238,,,-79.42578795,43.64303708,12,Bike Corral,Northcote Ave,14,5.5,2013,NO,,104,"{""type"": ""Point"", ""coordinates"": [-79.4257846968092, 43.6430284991501]}"
6774,30072958,1190,Dundas St E,1190 Dundas St E,M4M 0C5,former Toronto,Toronto,Toronto-Danforth (14),,115001,7576995,1190,,,,3334,,,-79.34103364,43.66526753,13,Bike Rack,Carlaw Ave,8,2.9,2016,N/A,,105,"{""type"": ""Point"", ""coordinates"": [-79.3410336455927, 43.6652675256312]}"
6775,8408615,12,Madison Ave,12 Madison Ave,M5R 2S1,former Toronto,Toronto,University-Rosedale (11),,115001,30104520,12,,,,3896,,,-79.40332134,43.6677592,15,Bike Rack,Madison Ave,8,2.9,2016,N/A,,106,"{""type"": ""Point"", ""coordinates"": [-79.4033213402764, 43.6677591999227]}"
6776,7570973,12,Ossington Ave,12 Ossington Ave,M6J 2Y7,former Toronto,Toronto,Spadina-Fort York (10),,107010,7570969,12,,,,4125,,,-79.41938141,43.64446791,16,Angled Bike Rack,Ossington Ave,5,2.9,2016,N/A,,107,"{""type"": ""Point"", ""coordinates"": [-79.4193781682054, 43.6444593301141]}"
6777,773911,122,Bond St,122 Bond St,M5B 1X8,former Toronto,Toronto,Toronto Centre (13),,102007,14021112,122,,,,3029,,,-79.37914202,43.6573867,17,Bike Rack,Bond St,16,2.9,2016,N/A,,108,"{""type"": ""Point"", ""coordinates"": [-79.3791387851816, 43.6573781216217]}"
6778,773913,137,Bond St,137 Bond St,M5B 1Y2,former Toronto,Toronto,Toronto Centre (13),,102008,14021112,137,,,,3029,,,-79.3787214,43.65783129,19,Bike Rack,Dalhousie St,8,2.9,2016,N/A,,109,"{""type"": ""Point"", ""coordinates"": [-79.3787181688475, 43.6578227118334]}"
